,County,County Code,Avg Daily Precipitation (mm),# of Observations for Daily Precipitation,State,FIPS
0,"Autauga County, AL",1001,3.72,80355, AL,01001
1,"Baldwin County, AL",1003,4.22,189930, AL,01003
2,"Barbour County, AL",1005,3.39,102270, AL,01005
3,"Bibb County, AL",1007,3.89,65745, AL,01007
4,"Blount County, AL",1009,3.69,73050, AL,01009
5,"Bullock County, AL",1011,3.52,73050, AL,01011
6,"Butler County, AL",1013,4.06,87660, AL,01013
7,"Calhoun County, AL",1015,3.36,73050, AL,01015
8,"Chambers County, AL",1017,3.51,73050, AL,01017
9,"Cherokee County, AL",1019,3.47,65745, AL,01019
10,"Chilton County, AL",1021,3.79,80355, AL,01021
11,"Choctaw County, AL",1023,4.03,124185, AL,01023
12,"Clarke County, AL",1025,3.86,146100, AL,01025
13,"Clay County, AL",1027,3.69,65745, AL,01027
14,"Cleburne County, AL",1029,3.46,58440, AL,01029
15,"Coffee County, AL",1031,3.92,80355, AL,01031
16,"Colbert County, AL",1033,3.5,58440, AL,01033
17,"Conecuh County, AL",1035,4.19,94965, AL,01035
18,"Coosa County, AL",1037,3.59,87660, AL,01037
19,"Covington County, AL",1039,4.22,124185, AL,01039
20,"Crenshaw County, AL",1041,3.98,80355, AL,01041
21,"Cullman County, AL",1043,3.74,94965, AL,01043
22,"Dale County, AL",1045,3.57,65745, AL,01045
23,"Dallas County, AL",1047,3.7,109575, AL,01047
24,"DeKalb County, AL",1049,3.53,87660, AL,01049
25,"Elmore County, AL",1051,3.56,73050, AL,01051
26,"Escambia County, AL",1053,4.22,102270, AL,01053
27,"Etowah County, AL",1055,3.45,65745, AL,01055
28,"Fayette County, AL",1057,3.84,87660, AL,01057
29,"Franklin County, AL",1059,3.55,73050, AL,01059
30,"Geneva County, AL",1061,3.78,73050, AL,01061
31,"Greene County, AL",1063,3.73,65745, AL,01063
32,"Hale County, AL",1065,3.84,73050, AL,01065
33,"Henry County, AL",1067,3.41,51135, AL,01067
34,"Houston County, AL",1069,3.63,65745, AL,01069
35,"Jackson County, AL",1071,3.47,131490, AL,01071
36,"Jefferson County, AL",1073,3.6,131490, AL,01073
37,"Lamar County, AL",1075,3.83,58440, AL,01075
38,"Lauderdale County, AL",1077,3.53,80355, AL,01077
39,"Lawrence County, AL",1079,3.65,87660, AL,01079
40,"Lee County, AL",1081,3.46,73050, AL,01081
41,"Limestone County, AL",1083,3.62,87660, AL,01083
42,"Lowndes County, AL",1085,3.71,80355, AL,01085
43,"Macon County, AL",1087,3.43,80355, AL,01087
44,"Madison County, AL",1089,3.43,87660, AL,01089
45,"Marengo County, AL",1091,3.79,109575, AL,01091
